iter	Passed	Remaining
670	43940	21544
671	44002	21477
672	44060	21408
673	44113	21336
674	44170	21267
675	44225	21196
676	44280	21126
677	44342	21059
678	44401	20990
679	44461	20923
680	44519	20853
681	44579	20786
682	44638	20717
683	44688	20645
684	44761	20583
685	44839	20524
686	44897	20455
687	44963	20390
688	45069	20343
689	45130	20276
690	45196	20210
691	45262	20145
692	45320	20076
693	45381	20009
694	45442	19942
695	45492	19870
696	45542	19798
697	45594	19726
698	45644	19655
699	45701	19586
700	45762	19519
701	45822	19451
702	45884	19385
703	45951	19320
704	46003	19249
705	46061	19181
706	46129	19117
707	46188	19049
708	46241	18979
709	46304	18913
710	46369	18847
711	46416	18775
712	46470	18705
713	46525	18636
714	46590	18571
715	46649	18503
716	46712	18437
717	46774	18370
718	46826	18300
719	46881	18231
720	46936	18162
721	46992	18093
722	47044	18023
723	47096	17954
724	47159	17888
725	47221	17821
726	47291	17758
727	47342	17688
728	47408	17623
729	47467	17556
730	47528	17489
731	47596	17426
732	47650	17357
733	47724	17295
734	47791	17230
735	47854	17165
736	47930	17103
737	48004	17042
738	48059	16973
739	48114	16905
740	48173	16838
741	48236	16772
742	48304	16708
743	48359	16639
744	48419	16573
745	48476	16505
746	48535	16438
747	48595	16371
748	48646	16302
749	48702	16234
750	48756	16165
751	48828	16103
752	48892	16037
753	48999	15986
754	49062	15920
755	49115	15851
756	49184	15788
757	49235	15718
758	49286	15649
759	49339	15580
760	49402	15515
761	49457	15447
762	49513	15379
763	49576	15314
764	49631	15246
765	49687	15178
766	49748	15112
767	49807	15046
768	49859	14977
769	49919	14911
770	49979	14844
771	50041	14779
772	50096	14711
773	50159	14645
774	50222	14580
775	50277	14513
776	50335	14446
777	50386	14377
778	50457	14314
779	50521	14249
780	50592	14186
781	50648	14119
782	50704	14052
783	50769	13987
784	50836	13923
785	50895	13857
786	50961	13792
787	51029	13728
788	51083	13661
789	51137	13593
790	51195	13527
791	51249	13459
792	51324	13397
793	51388	13332
794	51452	13267
795	51510	13201
796	51584	13138
797	51647	13073
798	51719	13010
799	51791	12947
800	51847	12880
801	51918	12817
802	51984	12753
803	52043	12687
804	52098	12620
805	52164	12555
806	52224	12489
807	52285	12424
808	52348	12359
809	52418	12295
810	52490	12232
811	52553	12167
812	52613	12101
813	52673	12036
814	52735	11970
815	52800	11906
816	52859	11840
817	52928	11776
818	52985	11709
819	53042	11643
820	53104	11578
821	53170	11513
822	53236	11449
823	53299	11384
824	53364	11319
825	53424	11254
826	53488	11189
827	53549	11123
828	53618	11060
829	53672	10993
830	53732	10927
831	53786	10860
832	53847	10795
833	53914	10731
834	53975	10665
835	54039	10601
836	54098	10535
837	54153	10468
838	54217	10404
839	54286	10340
840	54378	10280
841	54445	10216
842	54507	10151
843	54569	10086
844	54628	10020
845	54675	9952
846	54730	9886
847	54789	9820
848	54845	9754
849	54912	9690
850	54974	9625
851	55080	9568
852	55149	9504
853	55207	9438
854	55263	9372
855	55317	9305
856	55388	9242
857	55455	9177
858	55512	9112
859	55580	9047
860	55645	8983
861	55701	8917
862	55762	8852
863	55830	8788
864	55895	8723
865	55959	8658
866	56022	8593
867	56084	8528
868	56146	8463
869	56208	8398
870	56276	8334
871	56330	8268
872	56397	8204
873	56457	8139
874	56518	8074
875	56579	8008
876	56639	7943
877	56692	7877
878	56749	7811
879	56825	7748
880	56889	7684
881	56944	7618
882	57007	7553
883	57067	7488
884	57122	7422
885	57176	7356
886	57242	7292
887	57308	7228
888	57368	7162
889	57437	7098
890	57501	7034
891	57558	6968
892	57625	6904
893	57682	6839
894	57747	6774
895	57807	6709
896	57873	6645
897	57949	6582
898	58012	6517
899	58065	6451
900	58143	6388
901	58203	6323
902	58256	6257
903	58317	6192
904	58369	6127
905	58426	6061
906	58485	5996
907	58543	5931
908	58607	5867
909	58669	5802
910	58738	5738
911	58809	5674
912	58863	5609
913	58923	5544
914	58989	5479
915	59057	5415
916	59131	5352
917	59210	5288
918	59267	5223
919	59332	5159
920	59391	5094
921	59457	5030
922	59513	4964
923	59568	4899
924	59623	4834
925	59692	4770
926	59753	4705
927	59810	4640
928	59866	4575
929	59938	4511
930	59992	4446
931	60044	4380
932	60114	4316
933	60179	4252
934	60244	4188
935	60316	4124
936	60372	4059
937	60427	3994
938	60482	3929
939	60538	3864
940	60598	3799
941	60652	3734
942	60702	3669
943	60765	3604
944	60817	3539
945	60877	3475
946	60931	3410
947	60992	3345
948	61061	3281
949	61108	3216
950	61158	3151
951	61210	3086
952	61262	3021
953	61313	2956
954	61359	2891
955	61410	2826
956	61465	2761
957	61516	2696
958	61582	2632
959	61642	2568
960	61707	2504
961	61764	2439
962	61831	2375
963	61897	2311
964	61961	2247
965	62024	2183
966	62096	2119
967	62156	2054
968	62227	1990
969	62283	1926
970	62334	1861
971	62393	1797
972	62442	1732
973	62503	1668
974	62580	1604
975	62720	1542
976	62794	1478
977	62891	1414
978	62953	1350
979	63009	1285
980	63071	1221
981	63109	1156
982	63138	1091
983	63166	1027
984	63190	962
985	63216	897
986	63236	832
987	63265	768
988	63291	703
989	63321	639
990	63359	575
991	63389	511
992	63421	447
993	63452	383
994	63480	318
995	63506	255
996	63533	191
997	63559	127
998	63577	63
999	63599	0
